source_id,title,url,source_type,focus,license_note,final_status,local_pdf,bytes
OA01,Effects of Print Parameters and Heat Treatment on Fatigue of Laser Powder Bed Fused Inconel 718,https://oaktrust.library.tamu.edu/bitstreams/e06ac7ee-208b-4613-88c3-cea2181bc623/download,thesis_pdf,fatigue heat-treatment print-parameters,repository download,blocked_or_not_pdf,,
OA02,Optimization of the Post-Process Heat Treatment of Inconel 718 Superalloy Fabricated by LPBF,https://www.mdpi.com/2075-4701/11/1/144/pdf,article_pdf,heat-treatment optimization tensile hardness texture,open access MDPI,blocked_or_not_pdf,,
OA03,Influence of Homogenization and Solution Treatments Time on Microstructure and Hardness of Inconel 718 Fabricated by LPBF,https://www.mdpi.com/1996-1944/13/11/2574/pdf,article_pdf,heat-treatment hardness microstructure,open access MDPI,blocked_or_not_pdf,,
OA04,Effect of Homogenization and Solution Treatments Time on Elevated-Temperature Mechanical Behavior of Inconel 718 Fabricated by LPBF,https://www.nature.com/articles/s41598-021-81618-5.pdf,article_pdf,heat-treatment tensile 650C decision-map,open access Nature Scientific Reports,downloaded,OA04_Effect_of_Homogenization_and_Solution_Treatments_Time_on_Elevated_Temperature_Mechanical_Behavior_of_Inconel_718_Fabricated_by_LPBF.pdf,5397959
OA05,Effects of Process Parameters and Heat Treatment on Microstructure and Mechanical Characteristics of LPBF Inconel 718,https://www.mdpi.com/2079-6412/13/1/189/pdf,article_pdf,process parameters heat-treatment tensile hardness porosity,open access MDPI,blocked_or_not_pdf,,
OA06,Influence of Heat Treatment on High Temperature Performance of Inconel 718 Produced via LPBF,https://cronfa.swan.ac.uk/Record/cronfa69559/Download/69559__34388__8f0065dd1b854fef8983c8dd818d7a13.pdf,article_pdf,heat-treatment high-temperature properties,repository download,downloaded,OA06_Influence_of_Heat_Treatment_on_High_Temperature_Performance_of_Inconel_718_Produced_via_LPBF.pdf,23402370
OA07,Tailoring Heat Treatments for Metals Processed by Laser Powder Bed Fusion,https://bib-pubdb1.desy.de/record/476532/files/2022%20Van%20Cauwenbergh%20-%20Tailoring%20heat%20treatments%20for%20metals%20processed%20by%20laser%20powder%20bed%20fusion.pdf,thesis_pdf,LPBF heat-treatment background includes IN718,repository download,blocked_or_not_pdf,,
OA08,Alloy 718 Manufactured by AM Selective Laser Melting,https://www.diva-portal.org/smash/get/diva2%3A1236176/FULLTEXT01.pdf,thesis_pdf,SLM IN718 thermal processing baseline,repository download,downloaded,OA08_DiVA_Alloy_718_SLM_thesis.pdf,5342174
OA09,Improved Properties of Additively Prepared Inconel 718 Alloy Post-Processed with a New Heat Treatment,https://papers.ssrn.com/sol3/Delivery.cfm/0fbcf52c-0205-4de0-b004-01557f709baf-MECA.pdf?abstractid=4798171,preprint_pdf,new heat treatment fatigue mechanical properties,SSRN open page/preprint,blocked_or_not_pdf,,
OA10,Tailoring the Strength of IN718 Supplementary Materials,https://elib.dlr.de/212193/1/Kas25_M%26D_Tailoring%20the%20strength%20of%20IN718%2BSupplementaryMaterials.pdf,supplement_pdf,LPBF parameters heat-treatment synergy supplementary,repository download,downloaded,OA10_Tailoring_the_Strength_of_IN718_Supplementary_Materials.pdf,25225017
OA11,Microstructure Evolution in Inconel 718 Produced by Powder Bed Fusion,https://opus4.kobv.de/opus4-bam/frontdoor/deliver/index/docId/54275/file/10_3390_jmmp6010020.pdf,article_pdf,microstructure evolution heat treatment,open access/repository,blocked_or_not_pdf,,
OA12,Processing of Inconel 718 Matsuura LUMEX Research Abstract,https://www.matsuurausa.com/wp-content/uploads/Matsuura-LUMEX-Research-Abstract-1.3.22.pdf,industry_pdf,process/heat treatment references baseline,manufacturer public PDF,downloaded,OA12_Processing_of_Inconel_718_Matsuura_LUMEX_Research_Abstract.pdf,5266744
